Blank,,Scan1,,Scan2,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1099.967041,0.01969109848,1099.967041,0.06152308732,1099.967041,0.06587237865,
1099.028564,0.03614891693,1099.028564,0.08169362694,1099.028564,0.06481970847,
1097.972046,0.02683197148,1097.972046,0.06210943311,1097.972046,0.08384160697,
1097.032227,-1.682555376E-5,1097.032227,0.06727648526,1097.032227,0.0681418851,
1095.973999,0.0209919326,1095.973999,0.09291183949,1095.973999,0.07153269649,
1095.032715,-0.02446250804,1095.032715,0.07805574685,1095.032715,0.07762446254,
1093.973022,0.04101096839,1093.973022,0.0735463053,1093.973022,0.05436059088,
1093.030273,0.001959997462,1093.030273,0.08668335527,1093.030273,0.08536057174,
1091.968872,0.003997167107,1091.968872,0.0412559025,1091.968872,0.09876845032,
1091.024658,0.01794368401,1091.024658,0.05803079158,1091.024658,0.09241238981,
1089.96167,0.008267427795,1089.96167,0.06443051994,1089.96167,0.07961262763,
1089.016113,0.02080315724,1089.016113,0.08934684098,1089.016113,0.07873799652,
1087.951538,0.05479747429,1087.951538,0.06997255981,1087.951538,0.07298842072,
1087.004517,0.0129524013,1087.004517,0.0711299777,1087.004517,0.09058698267,
1086.056763,0.03357030824,1086.056763,0.08872018754,1086.056763,0.09378503263,
1084.989868,0.003528000787,1084.989868,0.08411950618,1084.989868,0.05771932751,
1084.040771,0.02001937851,1084.040771,0.07417850941,1084.040771,0.05696535483,
1082.972168,0.01394668873,1082.972168,0.07079096884,1082.972168,0.08649685979,
1082.021729,-0.003815401578,1082.021729,0.08341652155,1082.021729,0.08862986416,
1080.951538,0.02397847734,1080.951538,0.08321230114,1080.951538,0.07553743571,
1079.999634,-4.063906817E-5,1079.999634,0.07519882172,1079.999634,0.05822057277,
1079.046997,0.02241588011,1079.046997,0.09038835764,1079.046997,0.08971949667,
1077.974487,0.004538899753,1077.974487,0.0928844586,1077.974487,0.05658782646,
1077.020386,0.01792191342,1077.020386,0.07355498523,1077.020386,0.08549273759,
1075.946411,-0.001266460516,1075.946411,0.08982160687,1075.946411,0.07413508743,
1074.990967,0.007011755835,1074.990967,0.08837812394,1074.990967,0.0811413452,
1074.03479,0.009502715431,1074.03479,0.07209669054,1074.03479,0.08676151931,
1072.958374,0.01865761913,1072.958374,0.09593859315,1072.958374,0.07399427146,
1072.000854,-0.002260423731,1072.000854,0.07607902586,1072.000854,0.0725838542,
1071.042725,0.0140246423,1071.042725,0.08366630971,1071.042725,0.05885002017,
1069.963989,0.0304354988,1069.963989,0.08210620284,1069.963989,0.06893288344,
1069.004395,0.01540810894,1069.004395,0.08274395764,1069.004395,0.07922574133,
1068.044189,0.01849000528,1068.044189,0.09041124582,1068.044189,0.07796608657,
1066.963135,0.004697707482,1066.963135,0.0933303684,1066.963135,0.07475465536,
1066.001587,0.01962057129,1066.001587,0.07963833958,1066.001587,0.08255041391,
1065.039307,0.003827698994,1065.039307,0.07634820789,1065.039307,0.06980210543,
1063.955933,0.008460544981,1063.955933,0.07918386906,1063.955933,0.07670857012,
1062.992188,0.01093325205,1062.992188,0.09691356868,1062.992188,0.06312710792,
1062.027832,0.007988063619,1062.027832,0.0808781907,1062.027832,0.09085982293,
1060.942261,0.009389672428,1060.942261,0.08353808522,1060.942261,0.08227204531,
1059.97644,0.02002203465,1059.97644,0.07629262656,1059.97644,0.08336441964,
1059.010132,0.02548838034,1059.010132,0.09121375531,1059.010132,0.09095345438,
1058.043091,0.01707368158,1058.043091,0.0826459676,1058.043091,0.07963125408,
1056.954346,0.01200586185,1056.954346,0.08512970805,1056.954346,0.08956554532,
1055.985962,0.01459038723,1055.985962,0.07816063613,1055.985962,0.08564420789,
1055.016846,0.01633111015,1055.016846,0.08586253971,1055.016846,0.07820275426,
1054.047119,0.01738543808,1054.047119,0.1129894927,1054.047119,0.0820768401,
1052.955444,0.0163676925,1052.955444,0.094899863,1052.955444,0.07461544871,
1051.984375,0.01870183088,1051.984375,0.07311751693,1051.984375,0.07859986275,
1051.012573,0.01731210388,1051.012573,0.08789859712,1051.012573,0.09463271499,
1050.040161,0.0256779138,1050.040161,0.0768167749,1050.040161,0.08993204683,
1048.945435,0.02268398181,1048.945435,0.08034495264,1048.945435,0.08493561298,
1047.97168,0.01357868221,1047.97168,0.08608520776,1047.97168,0.0781115815,
1046.997314,0.02130801044,1046.997314,0.09110224992,1046.997314,0.09003487974,
1046.022217,0.0143356882,1046.022217,0.07583793998,1046.022217,0.08704762161,
1045.046509,0.002081266604,1045.046509,0.08647945523,1045.046509,0.08658475429,
1043.94812,0.0140735982,1043.94812,0.08845598996,1043.94812,0.08072931319,
1042.970947,0.01278902777,1042.970947,0.09140854329,1042.970947,0.08423162252,
1041.993286,0.01388451736,1041.993286,0.0894748494,1041.993286,0.08441572636,
1041.014893,0.02418363653,1041.014893,0.08598457277,1041.014893,0.0797554329,
1040.035889,0.01524748188,1040.035889,0.09411565959,1040.035889,0.08582004905,
1039.056274,0.01867572404,1039.056274,0.08236819506,1039.056274,0.09443251789,
1037.953369,0.009888838977,1037.953369,0.08729226142,1037.953369,0.08969839662,
1036.972412,0.01102221664,1036.972412,0.0867030099,1036.972412,0.08123059571,
1035.990723,0.01391081791,1035.990723,0.09145256877,1035.990723,0.0856372416,
1035.008423,0.01934395917,1035.008423,0.08980810642,1035.008423,0.08775730431,
1034.025513,0.02150492184,1034.025513,0.08598782122,1034.025513,0.08918272704,
1033.041992,0.01193736959,1033.041992,0.08484701067,1033.041992,0.07853100449,
1032.057739,0.01111972332,1032.057739,0.09554263204,1032.057739,0.08345256746,
1030.949707,0.02084525116,1030.949707,0.08476600796,1030.949707,0.08696775883,
1029.964233,0.02045154572,1029.964233,0.09401192516,1029.964233,0.08370557427,
1028.978027,0.01171756815,1028.978027,0.08636019379,1028.978027,0.07881036401,
1027.991211,0.0174258817,1027.991211,0.08944877237,1027.991211,0.08456030488,
1027.003784,0.0169398915,1027.003784,0.08283482492,1027.003784,0.07961023599,
1026.015625,0.01463796105,1026.015625,0.09074056149,1026.015625,0.08759527653,
1025.026978,0.01578741334,1025.026978,0.09020163864,1025.026978,0.08322773129,
1024.037598,0.01661301591,1024.037598,0.09421093017,1024.037598,0.08146885782,
1023.047607,0.01534529962,1023.047607,0.08856976777,1023.047607,0.0863558352,
1022.057007,0.01924721338,1022.057007,0.08478643,1022.057007,0.08922488242,
1020.941772,0.01631936431,1020.941772,0.08876340836,1020.941772,0.08881527185,
1019.949829,0.01326820441,1019.949829,0.09194131941,1019.949829,0.08561214805,
1018.957275,0.01943406835,1018.957275,0.0875762701,1018.957275,0.08951098472,
1017.96405,0.02232850157,1017.96405,0.08912879229,1017.96405,0.08975078166,
1016.970215,0.01591040567,1016.970215,0.09192410856,1016.970215,0.08786839247,
1015.975769,0.01419399213,1015.975769,0.0894869715,1015.975769,0.08756379783,
1014.980652,0.01406429335,1014.980652,0.09039444476,1014.980652,0.08747231215,
1013.984924,0.01609000005,1013.984924,0.09118287265,1013.984924,0.08781531453,
1012.988586,0.01714441739,1012.988586,0.0908305943,1012.988586,0.08381821215,
1011.991638,0.0147411041,1011.991638,0.08820495754,1011.991638,0.09045714885,
1010.994019,0.015032297,1010.994019,0.09070901573,1010.994019,0.08710968494,
1009.995789,0.0171169769,1009.995789,0.09095457196,1009.995789,0.08906649798,
1008.997009,0.01705375873,1008.997009,0.09252545238,1008.997009,0.08778074384,
1007.997498,0.01356182992,1007.997498,0.09600319713,1007.997498,0.08580017835,
